url_from,url_to
https://politics.theonion.com/poll-finds-2018-midterms-resting-on-critical-swing-grou-1830157044,https://www.theonion.com/?startTime=1541093520438
https://www.theonion.com/jesus-announces-plans-to-return-once-the-dow-clears-27-1830155761,https://www.theonion.com/?startTime=1541093520438
https://sports.theonion.com/original-voice-of-nba-buzzer-passes-away-1830155517,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/girlfriend-really-has-mind-of-its-own-today-1830153697,https://www.theonion.com/?startTime=1541093520438
https://www.theonion.com/boston-gangster-whitey-bulger-killed-in-west-virginia-p-1830152328,https://www.theonion.com/?startTime=1541093520438
https://sports.theonion.com/luke-walton-inspires-lakers-with-story-about-zero-point-1830133981,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/paramedics-didn-t-realize-how-hard-it-would-be-to-cut-d-1830132529,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/woman-sick-of-being-stuck-in-back-half-of-velma-costume-1830127080,https://www.theonion.com/?startTime=1541093520438
https://entertainment.theonion.com/the-onion-looks-back-at-psycho-1830138678,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/toddler-shits-her-way-through-3rd-halloween-costume-of-1830127738,https://www.theonion.com/?startTime=1541093520438
https://politics.theonion.com/political-scientists-trace-american-democracy-s-severe-1830136614,https://www.theonion.com/?startTime=1541093520438
https://www.theonion.com/fortnite-spider-man-top-2018-s-most-popular-halloween-1830136540,https://www.theonion.com/?startTime=1541093520438
https://entertainment.theonion.com/kanye-must-be-back-on-his-meds-says-nation-technical-1830134696,https://www.theonion.com/?startTime=1541093520438
https://entertainment.theonion.com/the-onion-looks-back-at-rosemary-s-baby-1830133472,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/it-s-just-a-costume-it-s-just-a-costume-man-nervous-1830132936,https://www.theonion.com/?startTime=1541093520438
https://www.theonion.com/take-this-grape-for-it-is-the-witch-s-eye-take-this-s-1830130596,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/man-exhausted-after-having-to-explain-halloween-costume-1830127291,https://www.theonion.com/?startTime=1541093520438
https://politics.theonion.com/midterms-2018-key-house-races-to-watch-1830130385,https://www.theonion.com/?startTime=1541093520438
https://www.theonion.com/instagram-surpasses-snapchat-as-most-used-app-by-u-s-t-1830126677,https://www.theonion.com/?startTime=1541093520438
https://www.theonion.com/exorcise-your-right-1830161714,https://www.theonion.com/c/editorial-cartoon
https://www.theonion.com/democrats-express-certainty-they-will-retake-the-house-1830190999,https://www.theonion.com/?startTime=1541093520438
https://local.theonion.com/conservative-floridian-enjoys-living-under-sharia-law-m-1830188924,https://www.theonion.com/?startTime=1541093520438
